9;10;1000;1000
8;9;normal;true
8;8;normal;true
8;7;normal;true
8;6;normalworm;false
8;5;normal;true
8;4;normal;true
8;3;normal;true
8;2;normal;true
8;1;normal;true
8;0;normal;true
7;9;normal;true
7;8;normal;true
7;7;normal;false
7;6;normal;false
7;5;normal;false
7;4;normal;true
7;3;normal;true
7;2;normalshark;false
7;1;normal;true
7;0;normal;true
6;9;normal;true
6;8;normal;true
6;7;normal;false
6;6;normal;false
6;5;normal;false
6;4;normal;true
6;3;normal;true
6;2;normal;false
6;1;normal;false
6;0;normalBOMB;false
5;9;normal;true
5;8;normal;true
5;7;normal;false
5;6;normalTANK;false
5;5;normal;false
5;4;normal;true
5;3;normal;true
5;2;normalworm;false
5;1;normal;true
5;0;normal;true
4;9;normal;true
4;8;normal;true
4;7;normal;true
4;6;normal;true
4;5;normal;true
4;4;normal;true
4;3;normal;true
4;2;normal;true
4;1;normal;true
4;0;normal;true
3;9;normal;true
3;8;normal;true
3;7;normal;true
3;6;relic;true
3;5;normal;true
3;4;normal;true
3;3;normal;true
3;2;normal;true
3;1;normal;true
3;0;normal;true
2;9;normal;true
2;8;normal;true
2;7;normalMole;false
2;6;normal;false
2;5;normal;false
2;4;normal;true
2;3;normal;true
2;2;relic;true
2;1;normal;false
2;0;normal;false
1;9;normal;true
1;8;normal;true
1;7;normal;false
1;6;normalSUPER_DRLL;false
1;5;normal;false
1;4;normal;true
1;3;normal;true
1;2;normalDRILL;false
1;1;normal;false
1;0;normal;false
0;9;normal;true
0;8;normal;true
0;7;normal;false
0;6;normal;false
0;5;normal;false
0;4;normal;true
0;3;normal;true
0;2;normal;false
0;1;normalSTART;false
0;0;normalSCOUT;false
